"id","y_2007","y_2008","y_2009","y_2010","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019","y_2020","y_2021","y_2022"
"37063001304",4972000,3120000,2352000,1300000,1353000,1722000,2666000,1480000,2450000,2064000,2295000,2448000,4047000,4536000,5733000,1500000
"37063001808",,,,,,65886000,82397000,82502000,88315000,109032000,119140000,89349000,108395000,190536000,199983000,27216000
"37063002200",,,,,,7224000,12528000,6952000,8282000,8280000,14946000,12100000,25772000,32118000,23941000,4550000
"37063002009",27792000,18800000,10305000,7020000,9700000,7826000,9936000,8316000,8004000,9254500,9200000,11685000,13936000,14224000,17812000,3432000
"37063002026",,,,,,16779000,18603000,11271000,13515000,18095000,17908000,18542000,36915000,35564000,49840000,17238000
"37063002021",,,,,,22022000,22834000,15648000,15477000,17108000,11392500,13746000,20680000,31110000,34755000,7150000
"37063001710",27060000,14575000,10992000,10143000,10528000,11450000,15372000,9412000,9700000,12432000,11269000,14340000,13020000,17451000,22815000,4048000
"37063002022",,,,,,20100000,18354000,12320000,16685000,16371000,14440000,16999000,24206000,35136000,37800000,6642000
"37063001711",11424000,5562000,4848000,4050000,3967500,5661000,7590000,6545000,5687000,6328000,4462000,5886000,9075000,9720000,13567500,2376000
"37063002023",,,,,,14898000,16139500,11132000,11180000,11187500,10302000,14029500,15093000,24582000,25179000,3364000
"37063001400",7228000,3344000,1813000,805000,825000,2128000,1710000,1320000,1209000,1118000,1424000,3108000,2585000,3840000,6816000,770000
"37063001801",53244000,43301000,28857500,27295500,22372000,23569000,26680500,18446000,23200000,27750000,22680000,25542000,31855000,38491000,44591000,10541000
"37063001501",,147000,,89000,150000,99000,114000,,99000,90000,476000,,320000,,,
"37063000101",15824000,10252000,7568000,5812500,5580000,5640000,8736000,6741000,7425000,9342000,10146000,10140000,12936000,19866000,24768000,6386000
"37063001502",4590000,1632000,1400000,3168000,2093000,2046000,3160500,1608000,2960000,2384000,3295500,1176500,2889000,7128000,8910000,
"37063001706",24108000,13464000,29970000,20092500,19734000,27135000,26860000,23489000,18060000,20774000,15600000,19980000,25792000,44205000,37352000,6058000
"37063002007",32970000,27650000,34310000,26850000,30051000,35760000,29400000,21488000,26364000,31752000,27118500,29925000,37386000,58813000,65722500,8052000
"37063001708",17888000,20955000,19136000,13275000,10800000,16112000,16170000,10192000,11376000,14550000,12648000,15096000,15732000,18600000,24254000,3375000
"37063002017",43560000,39655000,59430000,64824000,55809000,78764000,60342000,31351000,42939000,42488000,33176000,40467000,62270000,102570000,105779000,
"37063001604",46324000,38475000,55760000,45045000,42978000,50826000,48594000,28199000,35409000,36975000,27768000,38003000,48867000,67296000,73458000,1.1e+07
"37063001900",27602000,21329000,21038000,19099000,17216000,26013000,22914000,26492000,42660000,45390000,48633000,71246000,81605000,128544000,134408000,40748000
"37063001709",25990000,14504000,11797000,6649500,7632000,6068000,6700000,4773000,8374000,11721500,11607000,9150000,21147000,22680000,30380000,7900000
"37063002018",51480000,33348000,62700000,57230000,43872000,74844000,66504000,37286000,39103500,44743000,40700000,48101000,58320000,111930000,102448500,
"37063001601",41205000,28500000,35828500,27300000,23517000,31220000,32428000,21700000,22440000,29882000,23920000,29256000,35140000,46512000,50775000,9009000
"37063001603",53982500,35926000,47286000,44310000,41230000,46588000,42254000,26600000,31824000,32900000,31752000,34124000,41318000,56564000,72090000,15960000
