"key","en","es"
"strings.accuracy","accuracy",
"strings.and","and",
"strings.back","back",
"strings.close","close",
"strings.county","county",
"strings.download","download",
"strings.median","median",
"strings.numberOf","number of",
"strings.or","or",
"strings.selected","selected",
"strings.theCompass","the compass",
"strings.title","title",
"strings.trend","trend",
"strings.value","value",
"strings.CityOfCharlotte","City of Charlotte",
"strings.CityOfDurhamLogo","City of Durham logo",
"strings.CountyAverage","County Average",
"strings.FeatureValue","Feature Value",
"strings.DataWorksNCLogo","DataWorks NC logo",
"strings.DurhamCountyLogo","Durham County logo",
"strings.DurhamNeighborhoodCompass","Durham Neighborhood Compass",
"strings.MecklenburgCounty","Mecklenburg County",
"strings.TrendingDown","Trending Down",
"strings.TrendingFlat","Trending Flat",
"strings.TrendingUp","Trending Up",
"dashboard.moveToC","Move Table of Contents",
"distributionChart.DataDistribution","Data Distribution",
"feedback.JoinMailingList","Join our mailing list",
"feedback.ShareFeedbacK","Share feedback or questions",
"footer.credits","View the Neighborhood Compass code on {GitHub}. Based on code created by {MecklenburgCounty}, the {Charlotte}, and {UNCC} with much &#9829; for the projects that make this site possible: {OpenStreetMap}, {OSM2VectorTiles}, {MapboxGLJS}, {VueJS}, {MDL}, {CircleCI}, and {BrowserStack}.",
"geographySwitcher.instructions","Select a base geography (depending on the dataset, different geographies may be available).",
"legend.MoveTableOfContents","Move Table of Contents",
"legend.ChoroplethLegend","Choropleth legend",
"map.SearchPlaceholder","Search for an address, neighborhood or landmark",
"metadata.about","About the Data",
"metadata.resources","Additional Resources",
"metadata.whyImportant","Why This is Important",
"printMapHeader.back","Back to dashboard",
"printMapHeader.copied","Text copied to clipboard!",
"printMapHeader.copy","Copy the following code to embed this map in another website",
"printMapHeader.print","Print this map",
"printMapHeader.printNote","Please note: the print function works best on Chrome or Firefox browsers.",
"printMapHeader.setTitle","Set a custom map title",
"printMode.footerText","Map from the Durham Neighborhood Compass, a project of DataWorks NC. Visit {compassLink} to build your own map!",
"reportMoreInfo.hide","Hide more info",
"reportMoreInfo.show","Show more info",
"reportSelector.categoryTip","Click to show this category",
"reportSelector.customize","Customize this report",
"reportSelector.goBack","go back to the dashboard and make a new selection",
"reportSelector.instructionsIntro","You can customize this report to show only the metrics or categories that are relevant to your interests. Here's how:",
"reportSelector.instructions[0]","Click on the title of a category to hide or show all of the metrics in that category.",
"reportSelector.instructions[1]","Click on the title of an individual metric to hide or show just that metric.",
"reportSelector.instructions[2]","If you want to choose a different part of the city to view for this report, you'll need to {goBack}",
"reportSelector.instructions[3]","Share your customized report using the following URL: ",
"reportSelector.metricsShown","Metrics shown in your report",
"reportSummary.about[0]","The {compassLink} is a primary community resource for information that is regularly-updated, serving meaningful data to the community openly.",
"reportSummary.about[1]","Each year the Compass grows and learns along with its users, adding data sets with strong community resonance and longitudinal importance.",
"reportSummary.about[2]","A quantitative project with qualitative values.",
"selectGroup.orSelectA","Or, select a",
"sidebar.download","Download the Data",
"sidebar.explore","Explore the Data",
"social.facebook","Share on Facebook",
"social.linkedIn","Share on LinkedIn",
"social.twitter","Share on Twitter",
"social.viewGitHub","View the project on GitHub",
"undermapButtons.clear","Clear Selected",
"undermapButtons.printEmbed","Print or Embed Map",
"undermapButtons.report","Report",
"yearSlider.startStop","Start or stop playing through data timeseries by year",
"yearSlider.useSlider","use slider to choose a data year to view",
